"","year","date","value"
"1",2000,175.966454435089,0.00203840176787954
"2",2000,176.222945807163,0.002455257059011
"3",2000,176.479437179237,0.00296002988920633
"4",2000,176.735928551311,0.00355678433613633
"5",2000,176.992419923385,0.00424915240534806
"6",2000,177.248911295459,0.00504774981087188
"7",2000,177.505402667533,0.00596373410796914
"8",2000,177.761894039607,0.00704023970811496
"9",2000,178.018385411681,0.00828680451933074
"10",2000,178.274876783755,0.00970159953641475
"11",2000,178.531368155829,0.0112987211625318
"12",2000,178.787859527903,0.013092512871671
"13",2000,179.044350899977,0.0151399838445422
"14",2000,179.300842272051,0.0174585389062667
"15",2000,179.557333644125,0.0200311132976656
"16",2000,179.813825016199,0.0228713322180663
"17",2000,180.070316388273,0.0259922733299704
"18",2000,180.326807760347,0.0294536240900813
"19",2000,180.583299132421,0.0332793346881606
"20",2000,180.839790504495,0.0374257587104737
"21",2000,181.096281876569,0.0418985562714386
"22",2000,181.352773248643,0.0467017156252539
"23",2000,181.609264620717,0.051878418767966
"24",2000,181.865755992791,0.0574495255135105
"25",2000,182.122247364865,0.0633406829440699
"26",2000,182.378738736939,0.0695414049350162
"27",2000,182.635230109013,0.0760387237164642
"28",2000,182.891721481087,0.0828411220483272
"29",2000,183.148212853161,0.0899465542109516
"30",2000,183.404704225235,0.0972644369766295
"31",2000,183.661195597309,0.104765154681541
"32",2000,183.917686969383,0.112416966488154
"33",2000,184.174178341457,0.120190042500166
"34",2000,184.430669713531,0.128035794674868
"35",2000,184.687161085605,0.135884603075146
"36",2000,184.943652457679,0.143695380779758
"37",2000,185.200143829753,0.151426814984691
"38",2000,185.456635201827,0.15902966470191
"39",2000,185.713126573901,0.166397791271468
"40",2000,185.969617945975,0.173528992617267
"41",2000,186.226109318049,0.180388786494769
"42",2000,186.482600690123,0.186945227746676
"43",2000,186.739092062197,0.193163486023967
"44",2000,186.995583434271,0.198900972974737
"45",2000,187.252074806345,0.204248454530838
"46",2000,187.508566178419,0.209198310951005
"47",2000,187.765057550493,0.213747517489095
"48",2000,188.021548922567,0.217897665882516
"49",2000,188.278040294641,0.221544792983902
"50",2000,188.534531666715,0.224833628713124
"51",2000,188.791023038789,0.227798217284891
"52",2000,189.047514410864,0.230472265218631
"53",2000,189.304005782938,0.232893877045289
"54",2000,189.560497155012,0.235073992255223
"55",2000,189.816988527086,0.237138356570179
"56",2000,190.07347989916,0.239151644295678
"57",2000,190.329971271234,0.241172681230025
"58",2000,190.586462643308,0.243261844579742
"59",2000,190.842954015382,0.245543653395833
"60",2000,191.099445387456,0.248085447777951
"61",2000,191.35593675953,0.250934958410561
"62",2000,191.612428131604,0.254147434413508
"63",2000,191.868919503678,0.257775262093892
"64",2000,192.125410875752,0.261990122711461
"65",2000,192.381902247826,0.266787854068762
"66",2000,192.6383936199,0.272148111471245
"67",2000,192.894884991974,0.278088985346392
"68",2000,193.151376364048,0.284621845172099
"69",2000,193.407867736122,0.291866599844893
"70",2000,193.664359108196,0.29975162073821
"71",2000,193.92085048027,0.308172438292082
"72",2000,194.177341852344,0.317088991275903
"73",2000,194.433833224418,0.326453531351378
"74",2000,194.690324596492,0.336257126338727
"75",2000,194.946815968566,0.346367059666367
"76",2000,195.20330734064,0.356640667094321
"77",2000,195.459798712714,0.366986453440519
"78",2000,195.716290084788,0.377308490309812
"79",2000,195.972781456862,0.38746164963695
"80",2000,196.229272828936,0.397257568924031
"81",2000,196.48576420101,0.406614966788217
"82",2000,196.742255573084,0.415428532786899
"83",2000,196.998746945158,0.423595090623639
"84",2000,197.255238317232,0.430905891313007
"85",2000,197.511729689306,0.437135804202719
"86",2000,197.76822106138,0.442366185885095
"87",2000,198.024712433454,0.446531229668841
"88",2000,198.281203805528,0.449573843970615
"89",2000,198.537695177602,0.451333340120051
"90",2000,198.794186549676,0.451599732278525
"91",2000,199.05067792175,0.450647130719233
"92",2000,199.307169293824,0.448489487915413
"93",2000,199.563660665898,0.445152110998349
"94",2000,199.820152037972,0.440603163041977
"95",2000,200.076643410046,0.434734378999005
"96",2000,200.33313478212,0.427927434216194
"97",2000,200.589626154194,0.420278173160532
"98",2000,200.846117526268,0.411890597984353
"99",2000,201.102608898342,0.402860270718781
"100",2000,201.359100270416,0.39327117129643
"101",2000,201.61559164249,0.383437623574675
"102",2000,201.872083014564,0.37349767825377
"103",2000,202.128574386638,0.363590099892144
"104",2000,202.385065758712,0.353858210097753
"105",2000,202.641557130786,0.34461960913851
"106",2000,202.89804850286,0.33594618437655
"107",2000,203.154539874934,0.3279572898294
"108",2000,203.411031247008,0.32076526473623
"109",2000,203.667522619082,0.314475313167474
"110",2000,203.924013991156,0.309534554515983
"111",2000,204.180505363231,0.305749073278104
"112",2000,204.436996735305,0.303151247784777
"113",2000,204.693488107379,0.301779481359159
"114",2000,204.949979479453,0.301660946456319
"115",2000,205.206470851527,0.30315863759205
"116",2000,205.462962223601,0.305950961273586
"117",2000,205.719453595675,0.309944501622646
"118",2000,205.975944967749,0.315091328174606
"119",2000,206.232436339823,0.321333440931411
"120",2000,206.488927711897,0.328820376199659
"121",2000,206.745419083971,0.337230251810232
"122",2000,207.001910456045,0.346388671843814
"123",2000,207.258401828119,0.356187638278019
"124",2000,207.514893200193,0.366514702132813
"125",2000,207.771384572267,0.377296594411005
"126",2000,208.027875944341,0.388290785778987
"127",2000,208.284367316415,0.39934144155578
"128",2000,208.540858688489,0.410332264715048
"129",2000,208.797350060563,0.421149922113733
"130",2000,209.053841432637,0.431594456031178
"131",2000,209.310332804711,0.441528204887385
